#threads,exec_time,speedup
1S,0.057525,1
1,0.048323,1.190426
2,0.024963,2.304410
3,0.017828,3.226665
4,0.016766,3.431050
5,0.013609,4.226982
6,0.013562,4.241631
7,0.017078,3.368368
8,0.017414,3.303376
